Text,Label
发现 影史 顶尖 作品 都 反映 人 执念 一种 笃定 一切 意志力 这种 意志 不 被 人 理解 但 让 人 佩服 大多数 人 不敢 付出 这样 代价 不敢相信 一切 价值 自由 希望 就是 人 活着 一根 弦 绷着 就 生断 就 死 忙 着 去 活 忙 着 去 死 在于 选择 如果 愿意 相信 自己 会 光彩夺目 鸟 就 不 被困 牢笼 安迪 牢笼 自己 打开,我发现影史顶尖的作品，都反映了人的执念，一种笃定一切的意志力，这种意志不被人理解，但让人佩服，因为大多数人不敢付出这样的代价，他们不敢相信这一切的价值。自由和希望，就是每个人活着的一根弦，绷着就能生，断了就得死。所以“要么忙着去活，要么忙着去死”，在于选择。如果你愿意相信自己会是那只光彩夺目的鸟，那你就不可能被困在牢笼之中，因为安迪的牢笼是他自己打开的。
整部 电影 有点像 爽剧 给 最大 感受 不是 自由 真 好 而是 脑子 聪明 真好 Andy 越狱 后 一切 过于 完美 以至于 最后 一幕 当蓝得 不 真实 大西洋 出现 时 一度 怀疑 一切都是 Red 老头 美好 幻想 其实 Andy 精神 崩溃 越狱 时候 被 击毙 照例 无法 被 保释 老死 监狱 人生 最后 日子 里 为了 消磨时光 脑海 里 编 不 一样 结局 弥补 今生 遗憾 这部 电影 强调 希望 个 好 东西 行 吧 来 点儿 积极 祝 不 满足 肖申克 冷 啤酒 音乐 图书馆 而是 走出 墙外 往 大西洋 走 去 祝 有 智慧 勇气 踏上 一条 充满 不确定性 自由 之路 祝 这条 影评 别 给 惹 来 麻烦,整部电影有点像爽剧，给我的最大感受不是自由真好，而是脑子聪明真好。Andy越狱后的一切过于完美，以至于在最后一幕，当蓝得不真实的大西洋出现时，我一度怀疑这一切都是Red老头的美好幻想——其实Andy已经精神崩溃，或者越狱的时候被击毙。而他照例无法被保释，老死在监狱。人生最后的日子里，为了消磨时光，在脑海里编一些不一样的结局，弥补今生的遗憾。     然而，既然这部电影一直强调“希望是个好东西”，所以行吧，来点儿积极的：祝我们不满足于肖申克的冷啤酒、音乐和图书馆，而是走出墙外，一直往大西洋走去。祝我们有智慧和勇气踏上一条充满不确定性的自由之路。祝我这条影评别给我惹来麻烦。
不多 说,不多说了
说 越狱 系列 影片 鼻祖 故事情节 细腻 紧凑 被迫 入狱 狱中 斗智斗勇 夹缝 中 求生存 以及 对 重获 自由 极度 渴望 凭借 超高 智商 过 人 勇气 一次次 化险为夷 狱友 成功 逃离 获得 自由 侧面 揭露 社会 黑暗 及 腐败 不堪 入眼 一面 值得 深思 回味,可以说这是越狱系列影片的鼻祖，故事情节细腻紧凑，从被迫入狱，在狱中斗智斗勇，夹缝中求生存，以及对重获自由的极度渴望，凭借超高的智商和过人的勇气，一次次化险为夷，最终和狱友成功逃离，获得自由。侧面揭露的社会黑暗及腐败不堪入眼的一面，值得深思回味
习惯 监狱 生活 接受 不了 正常 生活 人 真实 恐怖 勇敢 面对 生活 逃离 自己 舒适 区,习惯了监狱生活而接受不了正常生活的人，既真实又恐怖。勇敢面对生活，逃离自己的舒适区。
久 看 印象 深刻 一位 老人 出狱 后 不 知道 如何 生活 外面 一切都是 所 不 熟悉 无法 正常 工作 交流 生活 选择 结束 自己 生命 习惯 真的 一种 极其 强大 可怕 力量,很久之前看的了，印象深刻的是一位老人在出狱后不知道如何生活了，外面的一切都是他所不熟悉的，无法正常的工作，交流，生活。最终选择结束了自己的生命。习惯真的是一种极其强大的可怕的力量！
当然 一部 好 电影 但 被 物化 成 廉价 鸡汤 如果 顶级 电影 就是 这样的话 电影 这门 事物 真的 让 人 失望 完全 算不上 艺术 不过 万幸 不是 电影 只不过 最烂 大街 好 电影 幸亏 有 更好 电影 有 理想 艺术 追求 电影 捍卫 电影 艺术 造诣 方面 底线 天花板 才 让 电影 一片 营销 号 鸡汤 中 沦落 为 廉价 网络 谈资 消费品,当然是一部好电影，但他现在已经被物化成的最廉价的鸡汤。如果最顶级的电影就是这样的话，那电影这门事物真的是太让人失望了，也完全算不上艺术。不过万幸的是它不是最好的电影，它只不过是最烂大街的好电影。 幸亏有更好的电影更有理想和艺术追求的电影在捍卫的电影在艺术造诣方面的底线和天花板，才让电影没有在一片营销号的鸡汤中沦落为最廉价的网络谈资和消费品。
几年 前 被 母亲 推荐 看 推崇 看过 后 感觉 黑暗 国家 都 存在 总的来说 希望 好人 一生 平安,几年前被母亲推荐看的，她很推崇，看过后感觉可以，黑暗是每个国家都存在的，总的来说希望好人一生平安！
重看 影城 超越 年代 主流 心灵鸡汤 灌得 眼泪 直冒 世上 本 无 希望 若 多行 一步 希望 绝望 黑暗 处 生出 倔强 微光 卡夫卡 式 悖论 每人 都 背负着 有形 无形 肖申克 注定 无法 被 囚禁 鸟儿 会 挣脱 桎梏 天才 善于 做梦 类型 片 元素 大 集成 充满 匠气 完美 作品,#重看#@影城；超越年代的“主流心灵鸡汤”依然灌得眼泪直冒；世上本无希望，若我多行一步即是希望，在绝望黑暗处生出倔强微光，卡夫卡式的悖论；每人都背负着有形无形的肖申克，注定无法被囚禁的鸟儿一定会挣脱桎梏，天才善于做梦；类型片元素大集成，充满匠气的完美作品。
年月日 第一次 看肖 申克 时候 观影 量 不到 五百 吧 给 五星 见识 浅 差不多 九年 过去 豆瓣 标注 看过 超过 三千 第二次 看 还是 给 五星 当然 不是 片 滴水不漏,2008年11月28日，第一次看肖申克。那时候观影量还不到五百吧。给五星是见识浅。现在差不多九年过去，我在豆瓣标注看过的已经超过三千，第二次看，还是给了五星。它当然不是最好的片，但是太滴水不漏了。
酣畅淋漓,酣畅淋漓
怒赞 难 有 一部 电影 能比 肖申克 救赎 更好 诠释 梦想 救赎 两个 词 关联 电影 予人 带来 心理 洗涤 震撼 如此 深刻 对比 安迪 生活 中 看似 无以 迈 不过 坎 算 什么 当 若 心拥 梦想 哪怕 失败 定能 获得 希望 救赎,怒赞，很难有一部电影能比《肖申克的救赎》更好的诠释梦想与救赎这两个词的关联，电影予人带来心理的洗涤震撼是如此深刻，对比安迪，我们生活中看似无以能迈不过的坎又算什么？当你若能一直心拥梦想，哪怕失败，也定能获得希望的救赎。
真正 救赎 从来不 词汇 意义 上 彻底 改造 而是 历经 劫难 遗失 人生 重要 年华 过后 渴求 灵魂 躯体 自由 无上 美好 希望,真正的救赎从来不是词汇意义上的“彻底改造”，而是在历经劫难、遗失人生重要年华过后依然渴求灵魂与躯体的自由和无上美好的希望
发现自己 最近 真的 愿意 回看 经典 女主 经典 自由 希望 多么 美好 词汇 可是 一个 迂腐 人 才 体会 到 两个 词 如果 一年 前 对 提起 那么 我会 表示 鄙夷 会 觉得 两个 词太 虚无缥缈 假大空 如果 向 提起 那么 我会 说 爱 自由 希望,发现自己最近真的是愿意回看经典 尤其是没有女主的经典 自由与希望 多么美好的词汇 可是一个迂腐的人现在才体会到 这两个词如果一年前对我提起 那么我会表示鄙夷 会觉得这两个词太虚无缥缈 假大空 而现在 如果你向我提起 那么我会说 我爱自由和希望
经典 很久以前 看 人 活着 就 有 希望,经典，很久以前看的了。人活着就得有希望。
任何 时候 都 坚持 坚持 就 会 成功 但 现实 坚持 人 少 值得一看,任何时候都要坚持，坚持就会成功的，但现实能一直坚持的人是少的。值得一看
忙 着 活 忙 着 死 人 对 现有 生活 保持 乐观 心态 充满希望 学会 享受 不是 得过且过 苟且偷生 这种 人生 还有 什么 意义 呢 趁早 去 死 活着 浪费资源,要么忙着活 要么忙着死 人应该对现有生活保持乐观的心态 充满希望 学会享受 而不是得过且过 苟且偷生 这种人生还有什么意义呢？还不如趁早去死 活着也是浪费资源
世上 生存 就 有 一项 特长 再者 坚持 就是 胜利 吧,在这世上生存就得有一项特长，再者坚持就是胜利吧。
人 活着 有 希望 一点 都 错当 老布 自杀 时候 想 回到 监狱 里 度过 剩余 日子 可是 当安迪 终于 出去 时候 那么 美好 人 啊 真的 有 希望 才能 快乐 勇敢 活下去 当 失意 时候 就 想起 这个 片子 想起 那么 努力 想尽办法 脱身 觉得 冲出重围 重新 站 起来 真的 励志,“人活着得有希望”，一点都没有错，当老布自杀的时候我在想他应该回到监狱里度过剩余的日子，可是当安迪终于出去的时候又是那么美好，人啊真的得有希望才能快乐勇敢的活下去。当我失意的时候就想起这个片子，想起他那么努力想尽办法的脱身，觉得我一定也可以冲出重围重新站起来，真的太励志了。
好 电影 值得 所有人 反复 观看 就是 一部,好的电影值得所有人反复观看，这就是一部。
对 推上 神坛 电影 莫名 恐惧 以致 雪藏 多年 才 看看 完 发现 之所以 雄踞 各类 榜首 因 至多 称作 经典 可 称作 伟大 Fear Can Hold You Prisoner Hope Can Set You Free Hope is a good thing,"对推上神坛的电影总是莫名恐惧，以致雪藏了多年才看。看完发现它之所以雄踞各类榜首，是因其他至多称作经典，而它却可称作伟大。Fear Can Hold You Prisoner, Hope Can Set You Free .Hope is a good thing."
经典 反复 品味 安迪 对 生活 自由 充满 向往 出狱 对 来说 新生 早已 习惯 监狱 生活 瑞德 已 变得 麻木 出狱 对 来说 就是 死亡,经典是可以反复品味的，安迪对生活和自由充满向往，出狱对他来说是新生;而早已习惯了监狱生活的瑞德，已变得麻木，出狱对他来说就是死亡。
这部 被 称为 刺激 影片 中国 影迷 间 有 极好 口碑 可见 电影 超越 国界 神奇 之 处,这部被称为《刺激1995》的影片在中国影迷间也有极好的口碑，可见电影超越国界的神奇之处。
任何 时候 都 不要 放弃 希望,任何时候，都不要放弃希望。
肖申克 救赎 中安迪 扮演者 蒂姆 罗宾斯 说 这部 电影 传达 长久 赛而 不是 即时 满足 人 感觉 被困 自己 生活 中 一个 糟糕 工作 相处 不 愉快 伴侣 随便 一个 什么 原因 隐喻 层面 上 看 电影 向 这些 人 诉说 一个 理念 就是 对于 所有人 来说 总有 一处 理想 之地 着 终有 一刻 会 达到,《肖申克的救赎》中安迪的扮演者蒂姆·罗宾斯说：“这部电影传达的是长久赛，而不是即时的满足。很多人感觉被困在了自己的生活中，因为一个糟糕的工作，或者相处不愉快的伴侣，或者其他随便一个什么原因。从隐喻层面上看，电影向这些人诉说了一个理念，就是对于所有人来说，总有一处理想之地在等着你，终有一刻，你会达到那里。”
还是 经典 老电影 振奋人心 主人公 逃出 监狱 河流 中 张开 双臂 画面 记忆犹新,还是经典的老电影振奋人心，主人公逃出监狱在河流中张开双臂的画面记忆犹新。
看 完 觉得 烧脑 看 第二次 觉得 男主人 厉害,看完之后，只觉得烧脑。看第二次，我只觉得男主人太厉害了。
无疑 好看 但 这么 高 评分 却是 夸大,无疑是好看的。但这么高的评分却是夸大了
救赎 每次 看 都 有 一种 新 感觉 什么 形容 对 崇拜 人生 若 真的 自由自在 日落 时候 喝 着 沁 人 冰 啤 该是 多么 美好 啊,救赎每次看都有一种新的感觉，没有什么能够形容我对他的崇拜，人生若是真的能自由自在的在日落的时候喝着沁人的冰啤，那该是多么美好啊。
肖申克 救赎 这部 电影 好看 值得 推荐,肖申克的救赎，这部电影很好看，值得推荐
好多 感受 不能 用 语言表达 世界 糟糕 美好 坚持 才 有 希望,好多感受不能用语言表达，世界很糟糕也很美好，坚持才有希望
希望 有朝一日 中国 拍出 这种 有 深刻 人生 内涵 电影,希望有朝一日中国也能拍出这种有深刻人生内涵的电影
有 那么 好 吗,有那么好吗？？？？？
自我 救赎 才 唯一 出口 感叹 知识 改变命运 啊,自我救赎才是唯一的出口。感叹于知识改变命运啊。
有点 好奇 这部 片 为何 被 过度 赞誉 到 这个 地步,有点好奇这部片为何被过度赞誉到这个地步···
这个 电影 包含 友谊 艰辛 希望 梦想 之所以 获得 成功 感动 给 希望 给 启示,这个电影包含了友谊，艰辛，希望和梦想。之所以它获得了成功因为它感动了你，它给了你希望给了你启示！
一部 女主 爱情 好 电影 不可 超越 励志 佳片 真的 令人感动 美国 电影 炒鸡 推荐 五星 绝对,"一部没有女主,没有爱情的好电影！不可超越的励志佳片，真的很令人感动的美国电影！炒鸡推荐🎉五星绝对的！"
总 觉得 美国 大片 容易 直面 人性 直面 真实 社会,总觉得美国大片更容易直面人性，直面真实的社会。
虚假 巧合 被 当作 精妙 对比 突兀 后果 往往 使人 惊叹 不是 受 启发 脱离 过去 过于 决绝,虚假的巧合被当作精妙对比，突兀的后果往往使人惊叹而不是受启发，脱离过去过于决绝。
最后 一瞬间 啊,最后那一瞬间啊
重看 次数 电影,重看次数最多的电影
真的 好好看 呀 对得起 那么 高 评分 我要 找 小说 来看 一遍,真的好好看呀，对得起它那么高的评分，我要找小说来看一遍了
好看 但 这么 高 分 有点 假 吧 如果 越狱 起来 还是 越狱 好看 些,好看但这么高的分有点假了吧，如果和越狱比起来，还是越狱好看些！
忙 着 活 忙 着 死,要么忙着活，要么忙着死。
天知道 第几次 重看 伟大 可贵 地方 一方面 多层次 嵌套 丰富 主题 另一方面 则 一种 内在 timeless 品质 情感 表述 因此 无论 观众 身处 时代 来自 何种 背景 抱持 怎样 心理 状态 都 有效 不由自主 地 relate 其中 某个 角色 某段 情节,天知道第几次重看。它最伟大可贵的地方大概一方面是多层次嵌套的丰富主题，另一方面则是一种内在的timeless品质和情感表述，因此无论观众身处哪个时代，来自何种背景，抱持怎样的心理状态，都能够有效甚至不由自主地relate其中的某个角色或某段情节。
几年 前 看 看 完 挺久 才 回神 第一次 看 一部 电影 反思 自己 心中 电影 第一名,几年前看的，看完之后挺久了才回神，第一次因为看了一部电影反思自己。是我心中电影的第一名～
以为 个 压抑 影片 最后 发现 希望 光 hope 谁 无法 夺走 谁 无法 消灭 这部 影片 值得一看,我以为是个压抑影片，最后，我发现了希望的光。hope，谁也无法夺走，谁也无法消灭。这部影片，值得一看。
最最 最最 好看 电影 之一,最最最最最好看的电影。没有之一。
不管怎么 说真的 佩服 男主 毅力 那样 情况 下 迷失 自己 追求 自己 向往 自由,不管怎么说，真的很佩服男主的毅力，在那样的情况下一直没有迷失自己，追求自己向往的自由。
Hope is good thing and is everything,"Hope is good thing, and is everything."
It take a strong man to save himself and a great man to save another,"It takes a strong man to save himself, and a great man to save another."
人 信念 真的 太强大 只要 想 做 坚持 总有一天 会 实现 知识 力量 强大 看 完 这部 电影 感觉 自己 对 美好 生活 充满 向往,人的信念真的太强大，只要想做，而且坚持，总有一天会实现。知识的力量也是很强大的。看完这部电影，感觉自己又对美好的生活充满了向往。
绝望 里长 出 希望 带来 无限 勇气,绝望里长出的希望能带来无限的勇气
很久以前 就 想 看 这部 剧 今天 终于 看 震撼 就是 安迪 越狱 一段 无论是 配乐 还是 色彩 或是 安迪 动作 神态 都 掌握 好 从此以后 再也 不用 承担 本 不是 惩罚 终于 自由,很久以前就想看这部剧，今天终于看了。最震撼的就是安迪越狱的那一段，无论是配乐还是色彩或是安迪的动作神态，都掌握的很好！从此以后，他再也不用承担本不是他的惩罚，他，终于自由了！
好多 感受 不能 用 语言表达 世界 糟糕 美好 坚持 才 有 希望,好多感受不能用语言表达，世界很糟糕也很美好，坚持才有希望
很难 有 一部 电影 能比 肖申克 救赎 更好 诠释 梦想 救赎 两个 词 关联 真谛 电影 予人 带来 心理 震撼 洗涤 从未 如此 深刻 主角 安迪 男二 黑人 瑞德 主辅 相成 两条 脉络 营造 一个 关乎 追梦 自由 心灵 救赎 诠释 生活 其实 本 就 有着 梦想 哪怕 失败 只要 能心 拥 梦想 便定 获得 希望 救赎,很难有一部电影能比《肖申克的救赎》能更好的诠释梦想与救赎这两个词的关联和真谛，电影予人带来心理的震撼与洗涤从未如此的深刻，主角安迪与男二黑人瑞德主辅相成的两条脉络营造了一个关乎追梦自由和心灵救赎最好的诠释，生活其实本就一直有着梦想，哪怕失败，只要能心拥梦想，便定能获得希望的救赎。
懦怯 囚禁 人 灵魂 希望 让 人 自由 强者 自救 圣者 渡人,懦怯囚禁人的灵魂  希望让人自由 强者自救  圣者渡人
知道 鸟儿 注定 不会 被关 牢笼 里,你知道，有些鸟儿是注定不会被关在牢笼里的。
想 打分 最大 感受 除了 知识 真的 改变命运 还有 永远 热爱生活 hope is good thing,我想打100分，最大的感受除了，知识真的可以改变命运。还有要永远热爱生活。hope is  good thing.
影响 自己 人生观 一部 电影 距离 斯蒂芬 金 Stephen King 德拉 邦特 Frank Darabont 们 缔造 这部 伟大 作品 有 十年 知道 美好 东西 想必 大家 都 感受 抱歉 聒噪 将 一如既往 眼里 肖申克 救赎 信念 自由 友谊 有关,"影响自己人生观的一部电影，距离斯蒂芬·金（Stephen King）和德拉邦特（Frank Darabont）们缔造这部伟大的作品已经有十年了。我知道美好的东西想必大家都能感受，但是很抱歉，我的聒噪仍将一如既往。

在我眼里，肖申克的救赎与信念、自由和友谊有关。"
